0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,1
14,2
15,2
16,4
17,7
18,8
19,10
20,11
21,16
22,17
23,20
24,23
25,30
26,32
27,38
28,43
29,45
30,48
31,50
32,52
33,60
34,61
35,65
36,69
37,75
38,76
39,80
40,83
41,90
42,91
43,94
44,98
45,102
46,104
47,108
48,111
49,115
50,117
51,120
52,122
53,127
54,129
55,131
56,133
57,137
58,139
59,141
60,144
61,147
62,149
63,154
64,158
65,161
66,163
67,166
68,168
69,175
70,176
71,179
72,181
73,186
74,188
75,190
76,192
77,199
78,201
79,205
80,210
81,218
82,222
83,228
84,234
85,245
86,251
87,261
88,273
89,291
90,304
91,319
92,339
93,370
94,388
95,412
96,453
97,490
98,512
99,535
100,578
101,629
102,650
103,689
104,734
105,793
106,819
107,859
108,895
109,965
110,991
111,1041
112,1072
113,1165
114,1184
115,1233
116,1281
117,1349
118,1384
119,1431
120,1484
121,1571
122,1595
123,1665
124,1732
125,1802
126,1843
127,1912
128,1958
129,2069
130,2100
131,2151
132,2226
133,2312
134,2349
135,2420
136,2481
137,2589
138,2621
139,2688
140,2751
141,2832
142,2892
143,2940
144,3021
145,3108
146,3169
147,3205
148,3289
149,3376
150,3413
151,3474
152,3538
153,3656
154,3687
155,3750
156,3809
157,3930
158,3954
159,3995
160,4060
161,4172
162,4216
163,4278
164,4328
165,4441
166,4461
167,4529
168,4575
169,4689
170,4725
171,4755
172,4814
173,4913
174,4946
175,4998
176,5041
177,5139
178,5166
179,5226
180,5277
181,5370
182,5390
183,5431
184,5485
185,5571
186,5588
187,5642
188,5693
189,5754
190,5788
191,5819
192,5871
193,5915
194,5946
195,5986
196,6028
197,6073
198,6094
199,6125
200,6147
201,6209
202,6214
203,6258
204,6270
205,6339
206,6342
207,6389
208,6394
209,6444
210,6446
211,6466
212,6490
213,6515
214,6517
215,6521
216,6539
217,6577
218,6577
219,6590
220,6614
221,6629
222,6638
223,6649
224,6655
225,6667
226,6679
227,6687
228,6693
229,6699
230,6702
231,6705
232,6706
233,6707
234,6707
235,6704
236,6701
237,6694
238,6692
239,6684
240,6679
241,6661
242,6656
243,6647
244,6636
245,6598
246,6590
247,6566
248,6520
249,6469
250,6447
251,6414
252,6383
253,6306
254,6285
255,6236
256,6189
257,6121
258,6091
259,6017
260,5970
261,5860
262,5826
263,5744
264,5661
265,5521
266,5467
267,5377
268,5236
269,5070
270,5015
271,4932
272,4825
273,4692
274,4619
275,4536
276,4403
277,4238
278,4127
279,4017
280,3909
281,3721
282,3669
283,3572
284,3482
285,3311
286,3272
287,3191
288,3109
289,2920
290,2880
291,2798
292,2729
293,2588
294,2532
295,2461
296,2367
297,2252
298,2197
299,2146
300,2072
301,1985
302,1891
303,1848
304,1793
305,1689
306,1684
307,1615
308,1532
309,1442
310,1406
311,1351
312,1301
313,1230
314,1199
315,1147
316,1117
317,1032
318,1024
319,955
320,921
321,854
322,847
323,801
324,772
325,706
326,695
327,658
328,642
329,601
330,580
331,554
332,533
333,493
334,488
335,466
336,458
337,418
338,413
339,399
340,390
341,371
342,360
343,352
344,341
345,328
346,325
347,319
348,315
349,310
350,309
351,303
352,298
353,290
354,288
355,284
356,282
357,271
358,270
359,260
360,259
361,251
362,251
363,243
364,241
365,233
366,233
367,225
368,221
369,212
370,211
371,208
372,205
373,196
374,196
375,193
376,192
377,178
378,178
379,172
380,170
381,161
382,161
383,157
384,156
385,145
386,144
387,143
388,141
389,138
390,137
391,137
392,136
393,136
394,136
395,136
396,136
397,136
398,136
399,136
400,136
401,136
402,136
403,136
404,136
405,136
406,136
407,136
408,137
409,137
410,137
411,137
412,137
413,138
414,138
415,139
416,139
417,139
418,139
419,140
420,140
421,141
422,141
423,141
424,141
425,141
426,141
427,141
428,142
429,143
430,143
431,143
432,143
433,144
434,144
435,145
436,145
437,146
438,146
439,147
440,148
441,149
442,150
443,150
444,151
445,151
446,151
447,152
448,152
449,153
450,153
451,153
452,153
453,153
454,154
455,155
456,156
457,154
458,153
459,153
460,153
461,153
462,153
463,153
464,153
465,153
466,152
467,152
468,151
469,151
470,151
471,151
472,151
473,149
474,146
475,145
476,142
477,132
478,131
479,130
480,130
481,130
